"IDFACTURA";"IDVCTO";"FECHA";"IMPORTE"
584;447;5/5/2002 0:00:00;143.27 €
585;448;25/6/2002 0:00:00;274.86 €
586;449;20/6/2002 0:00:00;321.32 €
587;450;25/6/2002 0:00:00;1417.47 €
588;451;28/4/2002 0:00:00;189.61 €
590;452;16/4/2002 0:00:00;187.00 €
591;453;19/3/2002 0:00:00;120.00 €
593;454;25/4/2002 0:00:00;77.00 €
594;455;25/1/2002 0:00:00;37.00 €
595;456;28/2/2002 0:00:00;223.00 €
596;457;29/4/2002 0:00:00;126.00 €
597;458;18/3/2002 0:00:00;0.00 €
607;459;25/4/2002 0:00:00;994.45 €
608;460;25/4/2002 0:00:00;1947.78 €
609;461;25/2/2002 0:00:00;33.54 €
610;465;25/4/2002 0:00:00;851.76 €
611;462;15/5/2002 0:00:00;1039.19 €
612;463;25/4/2002 0:00:00;1188.48 €
618;464;25/5/2002 0:00:00;4050.63 €
619;466;30/5/2002 0:00:00;986.31 €
621;467;8/5/2002 0:00:00;697.17 €
622;468;8/5/2002 0:00:00;495.35 €
624;469;15/5/2002 0:00:00;183531.00 €
625;470;15/5/2002 0:00:00;808.52 €
626;471;8/6/2002 0:00:00;754.00 €
628;472;8/6/2002 0:00:00;309.87 €
629;473;8/5/2002 0:00:00;595.85 €
630;474;10/6/2002 0:00:00;949.81 €
631;475;10/5/2002 0:00:00;963.73 €
632;476;25/6/2002 0:00:00;119.92 €
633;477;30/5/2002 0:00:00;365.60 €
634;478;8/5/2002 0:00:00;1724.07 €
635;479;25/6/2002 0:00:00;1347.70 €
636;480;25/6/2002 0:00:00;195.17 €
637;481;30/5/2002 0:00:00;550.71 €
641;482;10/6/2002 0:00:00;39.57 €
642;483;5/6/2002 0:00:00;361.65 €
644;484;30/5/2002 0:00:00;117.39 €
647;485;30/5/2002 0:00:00;152.26 €
649;486;30/5/2002 0:00:00;1317.61 €
650;487;28/2/2002 0:00:00;120.38 €
651;488;10/6/2002 0:00:00;425776.00 €
653;489;25/5/2002 0:00:00;731.96 €
654;490;30/5/2002 0:00:00;1429.12 €
656;491;5/7/2002 0:00:00;446.24 €
657;492;8/5/2002 0:00:00;1738.36 €
658;493;8/5/2002 0:00:00;96.25 €
660;494;8/6/2002 0:00:00;356.93 €
663;495;10/5/2002 0:00:00;1774.97 €
665;496;8/4/2002 0:00:00;159.05 €
665;497;;0.00 €
666;498;8/6/2002 0:00:00;735.57 €
667;499;8/6/2002 0:00:00;6.69 €
669;500;8/5/2002 0:00:00;1171.87 €
670;501;5/5/2002 0:00:00;2452.00 €
670;502;4/6/2002 0:00:00;2452.00 €
671;503;30/4/2002 0:00:00;59.00 €
672;504;10/3/2002 0:00:00;490.00 €
673;505;30/4/2002 0:00:00;1792.00 €
674;506;16/3/2002 0:00:00;42.00 €
675;507;10/4/2002 0:00:00;153.00 €
676;508;20/5/2002 0:00:00;204.00 €
677;509;24/3/2002 0:00:00;2207.00 €
678;510;15/5/2002 0:00:00;44.00 €
679;511;29/3/2002 0:00:00;611.00 €
680;512;20/5/2002 0:00:00;333.00 €
681;513;29/3/2002 0:00:00;231.00 €
682;514;28/5/2002 0:00:00;97.00 €
683;515;10/7/2002 0:00:00;771.18 €
684;516;25/6/2002 0:00:00;303.98 €
685;517;15/6/2002 0:00:00;135.98 €
686;518;14/3/2002 0:00:00;322.74 €
687;519;12/6/2002 0:00:00;297.34 €
688;520;12/6/2002 0:00:00;98.94 €
689;521;12/6/2002 0:00:00;222.26 €
690;522;12/6/2002 0:00:00;1004.53 €
691;523;25/6/2002 0:00:00;633.75 €
692;524;15/5/2002 0:00:00;263.96 €
693;525;12/6/2002 0:00:00;95.54 €
694;526;20/6/2002 0:00:00;-216.68 €
695;527;5/7/2002 0:00:00;-37.05 €
696;528;5/7/2002 0:00:00;37.05 €
697;529;14/3/2002 0:00:00;109.36 €
698;530;13/5/2002 0:00:00;764.51 €
700;531;12/6/2002 0:00:00;622.75 €
701;532;12/6/2002 0:00:00;352.65 €
702;533;13/4/2002 0:00:00;248.67 €
703;534;15/6/2002 0:00:00;989.20 €
704;535;12/6/2002 0:00:00;442.60 €
705;536;12/6/2002 0:00:00;87.70 €
706;537;12/6/2002 0:00:00;113.66 €
707;538;12/6/2002 0:00:00;546.78 €
708;539;25/6/2002 0:00:00;3094.67 €
709;540;25/6/2002 0:00:00;1882.25 €
710;541;15/4/2002 0:00:00;106.86 €
711;542;15/5/2002 0:00:00;379.13 €
712;543;15/5/2002 0:00:00;829.98 €
713;544;25/6/2002 0:00:00;212.25 €
714;545;15/5/2002 0:00:00;971.55 €
