"IDPROMOCION";"IDFIRMA";"IDFAMILIA";"IDARTICULO";"FECHALIMITE";"CANTIDADMINIMA";"NETO";"DESCUENTO";"COMISION"
3999;"18";"01";"0392";31/12/2014 0:00:00;1,00;0,35 €;0,00;5,00
4000;"18";"01";"0397";31/12/2014 0:00:00;1,00;0,30 €;0,00;5,00
4001;"18";"01";"0398";31/12/2013 0:00:00;1,00;0,40 €;0,00;5,00
4002;"18";"01";"0399";31/12/2013 0:00:00;1,00;0,40 €;0,00;5,00
4003;"18";"01";"0400";31/12/2013 0:00:00;1,00;0,40 €;0,00;5,00
4004;"18";"01";"0401";31/12/2013 0:00:00;1,00;0,40 €;0,00;5,00
4005;"18";"01";"0457";31/12/2013 0:00:00;1,00;1,80 €;0,00;5,00
4006;"18";"01";"0472";31/12/2013 0:00:00;1,00;1,50 €;0,00;5,00
4007;"18";"01";"0473";31/12/2013 0:00:00;1,00;1,65 €;0,00;5,00
4008;"18";"01";"0474";31/12/2013 0:00:00;1,00;1,80 €;0,00;5,00
4009;"18";"01";"0572";31/12/2013 0:00:00;1,00;1,65 €;0,00;5,00
4010;"18";"01";"0573";31/12/2013 0:00:00;1,00;1,15 €;0,00;5,00
4011;"18";"01";"0574";31/12/2013 0:00:00;1,00;1,31 €;0,00;5,00
4012;"18";"01";"0582";31/12/2013 0:00:00;1,00;0,75 €;0,00;5,00
4013;"18";"01";"0591";31/12/2013 0:00:00;1,00;0,50 €;0,00;5,00
4014;"18";"01";"0592";31/12/2013 0:00:00;1,00;0,50 €;0,00;5,00
4015;"18";"01";"0593";31/12/2013 0:00:00;1,00;0,52 €;0,00;5,00
4016;"18";"01";"0594";31/12/2013 0:00:00;1,00;0,55 €;0,00;5,00
4017;"18";"01";"0637-1";31/12/2013 0:00:00;1,00;0,00 €;0,00;5,00
4018;"18";"01";"0637-10";31/12/2013 0:00:00;1,00;0,02 €;0,00;5,00
4019;"18";"01";"0637-11";31/12/2013 0:00:00;1,00;0,05 €;0,00;5,00
4020;"18";"01";"0637-2";31/12/2013 0:00:00;1,00;0,01 €;0,00;5,00
4021;"18";"01";"0637-3";31/12/2013 0:00:00;1,00;0,01 €;0,00;5,00
4022;"18";"01";"0637-4";31/12/2013 0:00:00;1,00;0,01 €;0,00;5,00
4023;"18";"01";"0637-5";31/12/2013 0:00:00;1,00;0,01 €;0,00;5,00
4024;"18";"01";"0637-6";31/12/2013 0:00:00;1,00;0,02 €;0,00;5,00
4025;"18";"01";"0637-7";31/12/2013 0:00:00;1,00;0,01 €;0,00;5,00
4026;"18";"01";"0637-8";31/12/2013 0:00:00;1,00;0,01 €;0,00;5,00
4027;"18";"01";"0637-9";31/12/2013 0:00:00;1,00;0,02 €;0,00;5,00
4028;"18";"01";"0958";31/12/2013 0:00:00;1,00;0,38 €;0,00;5,00
4029;"18";"01";"0959";31/12/2013 0:00:00;1,00;0,42 €;0,00;5,00
4030;"18";"01";"0960";31/12/2013 0:00:00;1,00;0,42 €;0,00;5,00
4031;"18";"01";"0961";31/12/2013 0:00:00;1,00;1,10 €;0,00;5,00
4032;"18";"01";"0962";31/12/2013 0:00:00;1,00;1,10 €;0,00;5,00
4033;"18";"01";"0963";31/12/2013 0:00:00;1,00;1,10 €;0,00;5,00
4034;"18";"01";"1395";31/12/2013 0:00:00;1,00;0,48 €;0,00;5,00
4035;"18";"01";"1488";31/12/2013 0:00:00;1,00;0,60 €;0,00;5,00
4036;"18";"01";"1489";31/12/2013 0:00:00;1,00;0,60 €;0,00;5,00
4037;"18";"01";"1490";31/12/2013 0:00:00;1,00;0,70 €;0,00;5,00
4038;"18";"01";"1491";31/12/2013 0:00:00;1,00;0,75 €;0,00;5,00
4039;"18";"01";"1492";31/12/2013 0:00:00;1,00;0,98 €;0,00;5,00
4040;"18";"01";"1493";31/12/2013 0:00:00;1,00;0,98 €;0,00;5,00
4041;"18";"01";"1494";31/12/2013 0:00:00;1,00;1,15 €;0,00;5,00
4042;"18";"01";"1532";31/12/2013 0:00:00;1,00;0,34 €;0,00;5,00
4043;"18";"01";"1989";31/12/2013 0:00:00;1,00;2,05 €;0,00;5,00
4044;"18";"01";"2043";31/12/2013 0:00:00;1,00;0,72 €;0,00;5,00
4045;"18";"01";"2090";31/12/2013 0:00:00;1,00;1,02 €;0,00;5,00
4046;"18";"01";"2091";31/12/2013 0:00:00;1,00;1,25 €;0,00;5,00
4047;"18";"01";"2093";31/12/2013 0:00:00;1,00;1,35 €;0,00;5,00
4048;"18";"01";"2094";31/12/2013 0:00:00;1,00;1,45 €;0,00;5,00
4049;"18";"01";"2099";31/12/2013 0:00:00;1,00;1,20 €;0,00;5,00
4050;"18";"01";"2100";31/12/2013 0:00:00;1,00;1,20 €;0,00;5,00
4051;"18";"01";"2101";31/12/2013 0:00:00;1,00;1,20 €;0,00;5,00
4052;"18";"01";"2102";31/12/2013 0:00:00;1,00;1,35 €;0,00;5,00
4053;"18";"01";"2106";31/12/2013 0:00:00;1,00;2,30 €;0,00;5,00
4054;"18";"01";"2435";31/12/2013 0:00:00;1,00;2,50 €;0,00;5,00
4055;"18";"01";"4688";31/12/2013 0:00:00;1,00;0,90 €;0,00;5,00
4056;"18";"01";"A002";31/12/2013 0:00:00;1,00;1,18 €;0,00;5,00
4057;"18";"01";"AB1001";31/12/2013 0:00:00;1,00;0,12 €;0,00;5,00
4058;"18";"01";"AB1002";31/12/2013 0:00:00;1,00;0,13 €;0,00;5,00
4059;"18";"01";"AB1003";31/12/2013 0:00:00;1,00;0,14 €;0,00;5,00
4060;"18";"01";"AB2001";31/12/2013 0:00:00;1,00;0,12 €;0,00;5,00
4061;"18";"01";"AB2002";31/12/2013 0:00:00;1,00;0,15 €;0,00;5,00
4062;"18";"01";"AB2003";31/12/2013 0:00:00;1,00;0,19 €;0,00;5,00
4063;"18";"01";"ABTOOL";31/12/2013 0:00:00;1,00;28,00 €;0,00;5,00
4064;"18";"01";"AF32";31/12/2013 0:00:00;1,00;0,18 €;0,00;5,00
4065;"18";"01";"AFU";31/12/2013 0:00:00;1,00;0,18 €;0,00;5,00
4067;"18";"06";"AM-12";31/12/2013 0:00:00;1,00;0,10 €;0,00;5,00
